model,policy,dataset,primary_constraint_met,secondary_constraint_met,none_constraint_met,conflict_recognized
Llama-3.1-70B,baseline_all_user,conflicting_instructions,0.185,0.497,0.318,0.248
Llama-3.1-70B,baseline_all_user,conflicting_instructions_reversed,0.225,0.56,0.215,0.37
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context,0.458,0.315,0.227,0.173
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context_reversed,0.383,0.468,0.148,0.3
Llama-3.1-70B,basic_separation,conflicting_instructions,0.067,0.758,0.175,0.123
Llama-3.1-70B,basic_separation,conflicting_instructions_reversed,0.217,0.627,0.157,0.283
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context,0.138,0.63,0.232,0.125
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context_reversed,0.217,0.645,0.138,0.262
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,0.903,0.015,0.082,0.008
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,0.895,0.015,0.09,0.008
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,0.892,0.003,0.105,0.015
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.792,0.013,0.195,0.022
Llama-3.1-70B,emphasized_separation,conflicting_instructions,0.15,0.622,0.228,0.28
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,0.485,0.267,0.248,0.45
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,0.18,0.553,0.267,0.187
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,0.327,0.498,0.175,0.333
Llama-3.1-70B,marked_system_basic,conflicting_instructions,0.705,0.127,0.168,0.333
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,0.812,0.037,0.152,0.288
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,0.605,0.208,0.187,0.287
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,0.622,0.205,0.173,0.468
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,0.758,0.087,0.155,0.713
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,0.632,0.188,0.18,0.762
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,0.56,0.215,0.225,0.49
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.457,0.413,0.13,0.568
Llama-3.1-70B,marked_user_basic,conflicting_instructions,0.747,0.115,0.138,0.245
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,0.847,0.032,0.122,0.217
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,0.65,0.167,0.183,0.193
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,0.677,0.14,0.183,0.427
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,0.752,0.08,0.168,0.703
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,0.687,0.148,0.165,0.707
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,0.658,0.168,0.173,0.548
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.517,0.318,0.165,0.607
Llama-3.1-70B,task_specified_separation,conflicting_instructions,0.058,0.782,0.16,0.112
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,0.04,0.818,0.142,0.012
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,0.042,0.693,0.265,0.102
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,0.045,0.85,0.105,0.073
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,0.235,0.578,0.187,0.228
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,0.425,0.437,0.138,0.425
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context,0.365,0.37,0.265,0.238
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.385,0.473,0.142,0.337
Llama-3.1-70B,unmarked_system_detailed,conflicting_instructions,0.18,0.557,0.263,0.218
Llama-3.1-70B,unmarked_system_detailed,conflicting_instructions_reversed,0.203,0.61,0.187,0.417
Llama-3.1-70B,unmarked_system_detailed,conflicting_instructions_rich_context,0.422,0.352,0.227,0.198
Llama-3.1-70B,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.322,0.523,0.155,0.278
Llama-3.1-70B,unmarked_user_basic,conflicting_instructions,0.302,0.515,0.183,0.32
Llama-3.1-70B,unmarked_user_basic,conflicting_instructions_reversed,0.447,0.42,0.133,0.487
Llama-3.1-70B,unmarked_user_basic,conflicting_instructions_rich_context,0.422,0.362,0.217,0.225
Llama-3.1-70B,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.43,0.445,0.125,0.34
Llama-3.1-70B,unmarked_user_detailed,conflicting_instructions,0.213,0.533,0.253,0.415
Llama-3.1-70B,unmarked_user_detailed,conflicting_instructions_reversed,0.262,0.542,0.197,0.66
Llama-3.1-70B,unmarked_user_detailed,conflicting_instructions_rich_context,0.388,0.377,0.235,0.242
Llama-3.1-70B,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.352,0.487,0.162,0.368
Llama-3.1-8B,baseline_all_user,conflicting_instructions,0.22,0.415,0.365,0.22
Llama-3.1-8B,baseline_all_user,conflicting_instructions_reversed,0.227,0.505,0.268,0.337
Llama-3.1-8B,baseline_all_user,conflicting_instructions_rich_context,0.38,0.352,0.268,0.183
Llama-3.1-8B,baseline_all_user,conflicting_instructions_rich_context_reversed,0.243,0.503,0.253,0.24
Llama-3.1-8B,basic_separation,conflicting_instructions,0.028,0.69,0.282,0.103
Llama-3.1-8B,basic_separation,conflicting_instructions_reversed,0.107,0.683,0.21,0.215
Llama-3.1-8B,basic_separation,conflicting_instructions_rich_context,0.075,0.562,0.363,0.175
Llama-3.1-8B,basic_separation,conflicting_instructions_rich_context_reversed,0.142,0.618,0.24,0.287
Llama-3.1-8B,constraint_following_baseline,conflicting_instructions,0.827,0.02,0.153,0.055
Llama-3.1-8B,constraint_following_baseline,conflicting_instructions_reversed,0.778,0.027,0.195,0.045
Llama-3.1-8B,constraint_following_baseline,conflicting_instructions_rich_context,0.838,0.013,0.148,0.103
Llama-3.1-8B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.657,0.047,0.297,0.067
Llama-3.1-8B,emphasized_separation,conflicting_instructions,0.022,0.675,0.303,0.178
Llama-3.1-8B,emphasized_separation,conflicting_instructions_reversed,0.195,0.553,0.252,0.27
Llama-3.1-8B,emphasized_separation,conflicting_instructions_rich_context,0.113,0.503,0.383,0.24
Llama-3.1-8B,emphasized_separation,conflicting_instructions_rich_context_reversed,0.25,0.505,0.245,0.357
Llama-3.1-8B,marked_system_basic,conflicting_instructions,0.475,0.187,0.338,0.65
Llama-3.1-8B,marked_system_basic,conflicting_instructions_reversed,0.268,0.418,0.313,0.633
Llama-3.1-8B,marked_system_basic,conflicting_instructions_rich_context,0.397,0.348,0.255,0.405
Llama-3.1-8B,marked_system_basic,conflicting_instructions_rich_context_reversed,0.213,0.535,0.252,0.485
Llama-3.1-8B,marked_system_detailed,conflicting_instructions,0.505,0.125,0.37,0.433
Llama-3.1-8B,marked_system_detailed,conflicting_instructions_reversed,0.19,0.51,0.3,0.475
Llama-3.1-8B,marked_system_detailed,conflicting_instructions_rich_context,0.522,0.262,0.217,0.422
Llama-3.1-8B,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.205,0.553,0.242,0.382
Llama-3.1-8B,marked_user_basic,conflicting_instructions,0.655,0.09,0.255,0.572
Llama-3.1-8B,marked_user_basic,conflicting_instructions_reversed,0.393,0.383,0.223,0.695
Llama-3.1-8B,marked_user_basic,conflicting_instructions_rich_context,0.422,0.335,0.243,0.545
Llama-3.1-8B,marked_user_basic,conflicting_instructions_rich_context_reversed,0.2,0.573,0.227,0.613
Llama-3.1-8B,marked_user_detailed,conflicting_instructions,0.588,0.058,0.353,0.555
Llama-3.1-8B,marked_user_detailed,conflicting_instructions_reversed,0.2,0.508,0.292,0.61
Llama-3.1-8B,marked_user_detailed,conflicting_instructions_rich_context,0.542,0.223,0.235,0.503
Llama-3.1-8B,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.235,0.547,0.218,0.483
Llama-3.1-8B,task_specified_separation,conflicting_instructions,0.027,0.665,0.308,0.085
Llama-3.1-8B,task_specified_separation,conflicting_instructions_reversed,0.105,0.702,0.193,0.112
Llama-3.1-8B,task_specified_separation,conflicting_instructions_rich_context,0.062,0.555,0.383,0.108
Llama-3.1-8B,task_specified_separation,conflicting_instructions_rich_context_reversed,0.085,0.74,0.175,0.182
Llama-3.1-8B,unmarked_system_basic,conflicting_instructions,0.19,0.448,0.362,0.193
Llama-3.1-8B,unmarked_system_basic,conflicting_instructions_reversed,0.217,0.515,0.268,0.297
Llama-3.1-8B,unmarked_system_basic,conflicting_instructions_rich_context,0.335,0.345,0.32,0.173
Llama-3.1-8B,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.223,0.508,0.268,0.258
Llama-3.1-8B,unmarked_system_detailed,conflicting_instructions,0.2,0.438,0.362,0.227
Llama-3.1-8B,unmarked_system_detailed,conflicting_instructions_reversed,0.153,0.547,0.3,0.283
Llama-3.1-8B,unmarked_system_detailed,conflicting_instructions_rich_context,0.375,0.338,0.287,0.178
Llama-3.1-8B,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.23,0.518,0.252,0.223
Llama-3.1-8B,unmarked_user_basic,conflicting_instructions,0.203,0.442,0.355,0.415
Llama-3.1-8B,unmarked_user_basic,conflicting_instructions_reversed,0.227,0.485,0.288,0.598
Llama-3.1-8B,unmarked_user_basic,conflicting_instructions_rich_context,0.34,0.317,0.343,0.255
Llama-3.1-8B,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.213,0.513,0.273,0.368
Llama-3.1-8B,unmarked_user_detailed,conflicting_instructions,0.232,0.393,0.375,0.455
Llama-3.1-8B,unmarked_user_detailed,conflicting_instructions_reversed,0.173,0.498,0.328,0.538
Llama-3.1-8B,unmarked_user_detailed,conflicting_instructions_rich_context,0.355,0.332,0.313,0.307
Llama-3.1-8B,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.213,0.517,0.27,0.375
claude-3-5-sonnet-20241022,baseline_all_user,conflicting_instructions,0.263,0.448,0.288,0.163
claude-3-5-sonnet-20241022,baseline_all_user,conflicting_instructions_reversed,0.53,0.247,0.223,0.188
claude-3-5-sonnet-20241022,baseline_all_user,conflicting_instructions_rich_context,0.403,0.282,0.315,0.097
claude-3-5-sonnet-20241022,baseline_all_user,conflicting_instructions_rich_context_reversed,0.443,0.282,0.275,0.203
claude-3-5-sonnet-20241022,basic_separation,conflicting_instructions,0.088,0.713,0.198,0.035
claude-3-5-sonnet-20241022,basic_separation,conflicting_instructions_reversed,0.318,0.553,0.128,0.018
claude-3-5-sonnet-20241022,basic_separation,conflicting_instructions_rich_context,0.303,0.417,0.28,0.065
claude-3-5-sonnet-20241022,basic_separation,conflicting_instructions_rich_context_reversed,0.517,0.273,0.21,0.075
claude-3-5-sonnet-20241022,constraint_following_baseline,conflicting_instructions,0.868,0.042,0.09,0.002
claude-3-5-sonnet-20241022,constraint_following_baseline,conflicting_instructions_reversed,0.817,0.017,0.167,0.0
claude-3-5-sonnet-20241022,constraint_following_baseline,conflicting_instructions_rich_context,0.895,0.022,0.083,0.005
claude-3-5-sonnet-20241022,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.697,0.025,0.278,0.008
claude-3-5-sonnet-20241022,emphasized_separation,conflicting_instructions,0.137,0.66,0.203,0.14
claude-3-5-sonnet-20241022,emphasized_separation,conflicting_instructions_reversed,0.515,0.32,0.165,0.152
claude-3-5-sonnet-20241022,emphasized_separation,conflicting_instructions_rich_context,0.355,0.377,0.268,0.127
claude-3-5-sonnet-20241022,emphasized_separation,conflicting_instructions_rich_context_reversed,0.595,0.195,0.21,0.115
claude-3-5-sonnet-20241022,marked_system_basic,conflicting_instructions,0.825,0.028,0.147,0.088
claude-3-5-sonnet-20241022,marked_system_basic,conflicting_instructions_reversed,0.71,0.057,0.233,0.058
claude-3-5-sonnet-20241022,marked_system_basic,conflicting_instructions_rich_context,0.635,0.108,0.257,0.08
claude-3-5-sonnet-20241022,marked_system_basic,conflicting_instructions_rich_context_reversed,0.683,0.032,0.285,0.037
claude-3-5-sonnet-20241022,marked_system_detailed,conflicting_instructions,0.607,0.103,0.29,0.207
claude-3-5-sonnet-20241022,marked_system_detailed,conflicting_instructions_reversed,0.493,0.123,0.383,0.298
claude-3-5-sonnet-20241022,marked_system_detailed,conflicting_instructions_rich_context,0.513,0.162,0.325,0.25
claude-3-5-sonnet-20241022,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.51,0.205,0.285,0.192
claude-3-5-sonnet-20241022,marked_user_basic,conflicting_instructions,0.803,0.028,0.168,0.028
claude-3-5-sonnet-20241022,marked_user_basic,conflicting_instructions_reversed,0.75,0.04,0.21,0.008
claude-3-5-sonnet-20241022,marked_user_basic,conflicting_instructions_rich_context,0.717,0.108,0.175,0.032
claude-3-5-sonnet-20241022,marked_user_basic,conflicting_instructions_rich_context_reversed,0.688,0.022,0.29,0.017
claude-3-5-sonnet-20241022,marked_user_detailed,conflicting_instructions,0.74,0.067,0.193,0.218
claude-3-5-sonnet-20241022,marked_user_detailed,conflicting_instructions_reversed,0.535,0.173,0.292,0.145
claude-3-5-sonnet-20241022,marked_user_detailed,conflicting_instructions_rich_context,0.562,0.138,0.3,0.163
claude-3-5-sonnet-20241022,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.518,0.207,0.275,0.173
claude-3-5-sonnet-20241022,task_specified_separation,conflicting_instructions,0.083,0.688,0.228,0.008
