model,policy,dataset,primary_constraint_met,secondary_constraint_met,none_constraint_met
Llama-3.1-70B,baseline_all_user,conflicting_instructions,0.21,0.472,0.318
Llama-3.1-70B,baseline_all_user,conflicting_instructions_reversed,0.213,0.572,0.215
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context,0.46,0.305,0.235
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context_reversed,0.368,0.472,0.16
Llama-3.1-70B,basic_separation,conflicting_instructions,0.088,0.78,0.132
Llama-3.1-70B,basic_separation,conflicting_instructions_reversed,0.205,0.608,0.187
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context,0.143,0.628,0.228
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context_reversed,0.167,0.675,0.158
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,0.9,0.015,0.085
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,0.892,0.015,0.093
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,0.888,0.002,0.11
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.793,0.015,0.192
Llama-3.1-70B,emphasized_separation,conflicting_instructions,0.185,0.627,0.188
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,0.485,0.29,0.225
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,0.193,0.55,0.257
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,0.325,0.512,0.163
Llama-3.1-70B,marked_system_basic,conflicting_instructions,0.69,0.123,0.187
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,0.738,0.062,0.2
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,0.627,0.178,0.195
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,0.47,0.255,0.275
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,0.75,0.068,0.182
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,0.47,0.258,0.272
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,0.587,0.193,0.22
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.373,0.452,0.175
Llama-3.1-70B,marked_user_basic,conflicting_instructions,0.743,0.113,0.143
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,0.795,0.045,0.16
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,0.66,0.163,0.177
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,0.528,0.183,0.288
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,0.775,0.057,0.168
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,0.503,0.213,0.283
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,0.662,0.143,0.195
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.393,0.393,0.213
Llama-3.1-70B,task_specified_separation,conflicting_instructions,0.067,0.783,0.15
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,0.038,0.815,0.147
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,0.04,0.69,0.27
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,0.043,0.852,0.105
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,0.247,0.553,0.2
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,0.375,0.447,0.178
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context,0.372,0.362,0.267
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.352,0.478,0.17
Llama-3.1-70B,unmarked_system_detailed,conflicting_instructions,0.188,0.532,0.28
Llama-3.1-70B,unmarked_system_detailed,conflicting_instructions_reversed,0.188,0.612,0.2
Llama-3.1-70B,unmarked_system_detailed,conflicting_instructions_rich_context,0.435,0.338,0.227
Llama-3.1-70B,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.31,0.528,0.162
Llama-3.1-70B,unmarked_user_basic,conflicting_instructions,0.315,0.485,0.2
Llama-3.1-70B,unmarked_user_basic,conflicting_instructions_reversed,0.36,0.462,0.178
Llama-3.1-70B,unmarked_user_basic,conflicting_instructions_rich_context,0.388,0.355,0.257
Llama-3.1-70B,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.378,0.46,0.162
Llama-3.1-70B,unmarked_user_detailed,conflicting_instructions,0.248,0.487,0.265
Llama-3.1-70B,unmarked_user_detailed,conflicting_instructions_reversed,0.225,0.56,0.215
Llama-3.1-70B,unmarked_user_detailed,conflicting_instructions_rich_context,0.397,0.367,0.237
Llama-3.1-70B,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.323,0.512,0.165
Llama-3.1-8B,baseline_all_user,conflicting_instructions,0.238,0.395,0.367
Llama-3.1-8B,baseline_all_user,conflicting_instructions_reversed,0.193,0.54,0.267
Llama-3.1-8B,baseline_all_user,conflicting_instructions_rich_context,0.405,0.312,0.283
Llama-3.1-8B,baseline_all_user,conflicting_instructions_rich_context_reversed,0.178,0.55,0.272
Llama-3.1-8B,basic_separation,conflicting_instructions,0.033,0.683,0.283
Llama-3.1-8B,basic_separation,conflicting_instructions_reversed,0.067,0.695,0.238
Llama-3.1-8B,basic_separation,conflicting_instructions_rich_context,0.092,0.52,0.388
Llama-3.1-8B,basic_separation,conflicting_instructions_rich_context_reversed,0.077,0.668,0.255
Llama-3.1-8B,constraint_following_baseline,conflicting_instructions,0.823,0.018,0.158
Llama-3.1-8B,constraint_following_baseline,conflicting_instructions_reversed,0.752,0.038,0.21
Llama-3.1-8B,constraint_following_baseline,conflicting_instructions_rich_context,0.837,0.003,0.16
Llama-3.1-8B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.613,0.065,0.322
Llama-3.1-8B,emphasized_separation,conflicting_instructions,0.01,0.67,0.32
Llama-3.1-8B,emphasized_separation,conflicting_instructions_reversed,0.115,0.587,0.298
Llama-3.1-8B,emphasized_separation,conflicting_instructions_rich_context,0.123,0.477,0.4
Llama-3.1-8B,emphasized_separation,conflicting_instructions_rich_context_reversed,0.14,0.592,0.268
Llama-3.1-8B,marked_system_basic,conflicting_instructions,0.538,0.13,0.332
Llama-3.1-8B,marked_system_basic,conflicting_instructions_reversed,0.2,0.453,0.347
Llama-3.1-8B,marked_system_basic,conflicting_instructions_rich_context,0.488,0.265,0.247
Llama-3.1-8B,marked_system_basic,conflicting_instructions_rich_context_reversed,0.148,0.6,0.252
Llama-3.1-8B,marked_system_detailed,conflicting_instructions,0.522,0.107,0.372
Llama-3.1-8B,marked_system_detailed,conflicting_instructions_reversed,0.142,0.542,0.317
Llama-3.1-8B,marked_system_detailed,conflicting_instructions_rich_context,0.575,0.198,0.227
Llama-3.1-8B,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.135,0.623,0.242
Llama-3.1-8B,marked_user_basic,conflicting_instructions,0.698,0.057,0.245
Llama-3.1-8B,marked_user_basic,conflicting_instructions_reversed,0.332,0.418,0.25
Llama-3.1-8B,marked_user_basic,conflicting_instructions_rich_context,0.485,0.238,0.277
Llama-3.1-8B,marked_user_basic,conflicting_instructions_rich_context_reversed,0.107,0.637,0.257
Llama-3.1-8B,marked_user_detailed,conflicting_instructions,0.597,0.045,0.358
Llama-3.1-8B,marked_user_detailed,conflicting_instructions_reversed,0.158,0.535,0.307
Llama-3.1-8B,marked_user_detailed,conflicting_instructions_rich_context,0.61,0.145,0.245
Llama-3.1-8B,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.158,0.602,0.24
Llama-3.1-8B,task_specified_separation,conflicting_instructions,0.028,0.66,0.312
Llama-3.1-8B,task_specified_separation,conflicting_instructions_reversed,0.082,0.698,0.22
Llama-3.1-8B,task_specified_separation,conflicting_instructions_rich_context,0.072,0.528,0.4
Llama-3.1-8B,task_specified_separation,conflicting_instructions_rich_context_reversed,0.043,0.775,0.182
Llama-3.1-8B,unmarked_system_basic,conflicting_instructions,0.195,0.432,0.373
Llama-3.1-8B,unmarked_system_basic,conflicting_instructions_reversed,0.158,0.547,0.295
Llama-3.1-8B,unmarked_system_basic,conflicting_instructions_rich_context,0.352,0.317,0.332
Llama-3.1-8B,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.147,0.563,0.29
Llama-3.1-8B,unmarked_system_detailed,conflicting_instructions,0.218,0.423,0.358
