model,policy,dataset,conflict_name,primary_constraint_met,secondary_constraint_met,none_constraint_met
Llama-3.1-70B,baseline_all_user,conflicting_instructions,case_conflict,0.0,0.94,0.06
Llama-3.1-70B,baseline_all_user,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.02,0.98,0.0
Llama-3.1-70B,baseline_all_user,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.44,0.21,0.35
Llama-3.1-70B,baseline_all_user,conflicting_instructions,language_conflict: en_fr,0.45,0.2,0.35
Llama-3.1-70B,baseline_all_user,conflicting_instructions,num_sentence_conflict: 10_5,0.22,0.21,0.57
Llama-3.1-70B,baseline_all_user,conflicting_instructions,word_length_conflict: 300_50,0.13,0.29,0.58
Llama-3.1-70B,baseline_all_user,conflicting_instructions_reversed,case_conflict,0.5,0.0,0.5
Llama-3.1-70B,baseline_all_user,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.43,0.4,0.17
Llama-3.1-70B,baseline_all_user,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.02,0.85,0.13
Llama-3.1-70B,baseline_all_user,conflicting_instructions_reversed,language_conflict: en_fr,0.21,0.7,0.09
Llama-3.1-70B,baseline_all_user,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.12,0.74,0.14
Llama-3.1-70B,baseline_all_user,conflicting_instructions_reversed,word_length_conflict: 300_50,0.0,0.74,0.26
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context,case_conflict,0.01,0.67,0.32
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.06,0.74,0.2
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.34,0.22,0.44
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context,language_conflict: en_fr,0.96,0.01,0.03
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.56,0.1,0.34
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.83,0.09,0.08
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context_reversed,case_conflict,0.63,0.01,0.36
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.63,0.25,0.12
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.11,0.64,0.25
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.79,0.15,0.06
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.05,0.84,0.11
Llama-3.1-70B,baseline_all_user,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.0,0.94,0.06
Llama-3.1-70B,basic_separation,conflicting_instructions,case_conflict,0.0,0.95,0.05
Llama-3.1-70B,basic_separation,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.0,0.98,0.02
Llama-3.1-70B,basic_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.0,0.89,0.11
